Player Name,own_team,own_team_rating,opponent_team,opponent_team_rating,hight,position,PPG,Point,Class
Klay Thompson,Golden State Warriors,9.3,Boston Celtics,4.1,201,2,20.6,13,2
Klay Thompson,Golden State Warriors,9.3,Portland Trail Blazers,0.2,201,2,20.6,24,3
Klay Thompson,Golden State Warriors,9.3,Miami Heat,-0.1,201,2,20.6,19,2
Klay Thompson,Golden State Warriors,9.3,Los Angeles Lakers,-3.3,201,2,20.6,20,2
Kyrie Irving,Boston Celtics,4.1,Golden State Warriors,9.3,190,1,24,16,2
Kyrie Irving,Boston Celtics,4.1,Portland Trail Blazers,0.2,190,1,24,17,2
Kyrie Irving,Boston Celtics,4.1,Miami Heat,-0.1,190,1,24,33,4
Kyrie Irving,Boston Celtics,4.1,Los Angeles Lakers,-3.3,190,1,24,19,2
Ed Davis,Portland Trail Blazers,0.2,Golden State Warriors,9.3,208,5,5.1,4,1
Ed Davis,Portland Trail Blazers,0.2,Boston Celtics,4.1,208,5,5.1,8,1
Ed Davis,Portland Trail Blazers,0.2,Miami Heat,-0.1,208,5,5.1,11,2
Ed Davis,Portland Trail Blazers,0.2,Los Angeles Lakers,-3.3,208,5,5.1,2,1
Klay Thompson,Golden State Warriors,9.3,Chicago Bulls,-5.1,201,2,20.6,29,3
Klay Thompson,Golden State Warriors,9.3,Cleveland Cavaliers,1.6,201,2,20.6,24,3
Kyrie Irving,Boston Celtics,4.1,Cleveland Cavaliers,1.6,190,1,24,22,3
Kyrie Irving,Boston Celtics,4.1,Chicago Bulls,-5.1,190,1,24,25,3
Ed Davis,Portland Trail Blazers,0.2,Chicago Bulls,-5.1,208,5,5.1,4,1
Ed Davis,Portland Trail Blazers,0.2,Cleveland Cavaliers,1.6,208,5,5.1,5,1
Justise Winslow,Miami Heat,-0.1,Golden State Warriors,9.3,201,3,6.4,7,1
Justise Winslow,Miami Heat,-0.1,Boston Celtics,4.1,201,3,6.4,8,1
Justise Winslow,Miami Heat,-0.1,Portland Trail Blazers,0.2,201,3,6.4,0,1
Justise Winslow,Miami Heat,-0.1,Chicago Bulls,-5.1,201,3,6.4,8,1
Kyle Kuzma,Los Angeles Lakers,-3.3,Golden State Warriors,9.3,206,4,16.7,27,3
Kyle Kuzma,Los Angeles Lakers,-3.3,Boston Celtics,4.1,206,4,16.7,10,1
Kyle Kuzma,Los Angeles Lakers,-3.3,Portland Trail Blazers,0.2,206,4,16.7,22,3
Kyle Kuzma,Los Angeles Lakers,-3.3,Chicago Bulls,-5.1,206,4,16.7,22,3
Denzel Valentine,Chicago Bulls,-5.1,Golden State Warriors,9.3,198,2,9.7,10,1
Denzel Valentine,Chicago Bulls,-5.1,Boston Celtics,4.1,198,2,9.7,18,2
Denzel Valentine,Chicago Bulls,-5.1,Portland Trail Blazers,0.2,198,2,9.7,10,1
Denzel Valentine,Chicago Bulls,-5.1,Miami Heat,-0.1,198,2,9.7,7,1
Denzel Valentine,Chicago Bulls,-5.1,Los Angeles Lakers,-3.3,198,2,9.7,17,2
Denzel Valentine,Chicago Bulls,-5.1,Cleveland Cavaliers,1.6,198,2,9.7,7,1
Jose Calderon,Cleveland Cavaliers,1.6,Los Angeles Lakers,-3.3,190,1,4.3,17,2
Jose Calderon,Cleveland Cavaliers,1.6,Chicago Bulls,-5.1,190,1,4.3,8,1
Jose Calderon,Cleveland Cavaliers,1.6,Golden State Warriors,9.3,190,1,4.3,3,1
Jose Calderon,Cleveland Cavaliers,1.6,Miami Heat,-0.1,190,1,4.3,1,1
Jose Calderon,Cleveland Cavaliers,1.6,Boston Celtics,4.1,190,1,4.3,6,1
Jordan Bell,Golden State Warriors,9.3,Miami Heat,-0.1,206,5,5.2,4,1
Jordan Bell,Golden State Warriors,9.3,Portland Trail Blazers,0.2,206,5,5.2,11,2
Jordan Bell,Golden State Warriors,9.3,Los Angeles Lakers,-3.3,206,5,5.2,20,2
Jordan Bell,Golden State Warriors,9.3,Chicago Bulls,-5.1,206,5,5.2,7,1
Marcus Morris,Boston Celtics,4.1,Golden State Warriors,9.3,206,4,11.4,12,2
Marcus Morris,Boston Celtics,4.1,Miami Heat,-0.1,206,4,11.4,14,2
Marcus Morris,Boston Celtics,4.1,Los Angeles Lakers,-3.3,206,4,11.4,18,2
Evan Turner,Portland Trail Blazers,0.2,Golden State Warriors,9.3,201,3,8.6,10,1
Evan Turner,Portland Trail Blazers,0.2,Miami Heat,-0.1,201,3,8.6,10,1
Evan Turner,Portland Trail Blazers,0.2,Los Angeles Lakers,-3.3,201,3,8.6,7,1
Evan Turner,Portland Trail Blazers,0.2,Chicago Bulls,-5.1,201,3,8.6,22,3
Robin Lopez,Chicago Bulls,-5.1,Golden State Warriors,9.3,213,5,12.7,7,1
Robin Lopez,Chicago Bulls,-5.1,Boston Celtics,4.1,213,5,12.7,8,1
Robin Lopez,Chicago Bulls,-5.1,Portland Trail Blazers,0.2,213,5,12.7,15,2
Robin Lopez,Chicago Bulls,-5.1,Miami Heat,-0.1,213,5,12.7,22,3
Robin Lopez,Chicago Bulls,-5.1,Los Angeles Lakers,-3.3,213,5,12.7,14,2
